,name,city,country,latitude,longitude,starbucks,starbucks_lat,starbucks_lon,airport,air_lat,air_lon,daycare,daycare_lat,daycare_lon
0,Wetpaint,Seattle,USA,47.603122,-122.333253,Starbucks,47.6041558,-122.3308269,Seattle-Tacoma International Airport,47.4502499,-122.3088165,Cosmopolitan Kids Downtown Academy,47.60568610000001,-122.3349966
1,Wesabe,San Francisco,USA,37.793148,-122.402567,Starbucks,37.792183,-122.40377,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons,37.7921109,-122.4039273
2,Pando Networks,New York,USA,40.722655,-73.99873,Starbucks,40.722553,-73.997942,John F. Kennedy International Airport,40.6413111,-73.77813909999999,SoHo Child Care,40.7233739,-74.0010602
3,Livestream,New York,USA,40.726155,-73.995625,Starbucks,40.727212,-73.995485,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Sompit Child Care,40.7278058,-73.9979716
4,Netvibes,Paris,FRA,48.870806,2.34668,Starbucks,48.8706754,2.3469117,Paris-Charles De Gaulle,49.0096906,2.5479245,Municipal Collective Nursery - Thorel,48.8696886,2.3490649
5,FeedBurner,Chicago,USA,41.889474,-87.628912,Starbucks,41.89016000000001,-87.63125099999999,Chicago Midway International Airport,41.78677589999999,-87.7521884,Nannies of Children's Learning Place,41.889873,-87.627482
6,TVtrip,Paris,FRA,48.856667,2.350987,Starbucks,48.8568201,2.3548934,Paris-Charles De Gaulle,49.0096906,2.5479245,Day Care Municipal - Lobau,48.8560309,2.3529509
7,Bebo,San Francisco,USA,37.782103,-122.401116,Starbucks,37.784833,-122.39996,San Francisco International Airport,37.6213129,-122.3789554,Modern Education Family Childcare - Yerba Buena,37.781321,-122.401216
8,Loomia,San Francisco,USA,37.796396,-122.404869,Starbucks,37.794632,-122.402728,San Francisco International Airport,37.6213129,-122.3789554,Wu Yee Children's Services - Lok Yuen CDC & Joy Lok FRC,37.7941834,-122.4076891
9,Terabitz,Palo Alto,USA,37.437328,-122.159928,Peet's Coffee,37.4380642,-122.159322,San Carlos Airport,37.5153754,-122.2503052,Odyssey Montessori,37.439599,-122.157198
10,Eventbrite,San Francisco,USA,37.779507,-122.39071,Starbucks,37.777035,-122.393641,San Francisco International Airport,37.6213129,-122.3789554,Wonderful Children Day Care,37.7822907,-122.3888066
11,Seesmic,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347,San Francisco International Airport,37.6213129,-122.3789554,Marin Day Schools Market Street,37.7772044,-122.4173489
12,Flixster,San Francisco,USA,37.766909,-122.406676,Starbucks,37.7658845,-122.4034908,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at Kansas Street,37.7666032,-122.403834
13,spigit,Reston,USA,38.9590083,-77.3592746,Starbucks,38.958891,-77.35914,Dulles International Airport,38.9531162,-77.45653879999999,"Winwood Children's Center, Reston",38.960974,-77.35936699999999
14,Curse,San Francisco,USA,37.787092,-122.399972,Starbucks,37.787764,-122.401087,San Francisco International Airport,37.6213129,-122.3789554,American Child Care Services,37.78939560000001,-122.3997317
15,Vuze,San Mateo,USA,37.4858654,-122.2262606,Starbucks Reserve,37.486332,-122.229944,San Francisco International Airport,37.6213129,-122.3789554,Footsteps Child Care Inc,37.4852151,-122.226868
16,Retrevo,Sunnyvale,USA,37.368594,-122.034021,Starbucks,37.3686003,-122.0356701,Norman Y. Mineta San Jose International Airport,37.3639472,-121.9289375,Daisy Daycare,37.3689677,-122.0330474
17,Tangler,Mountain View,USA,37.386665,-122.084171,Starbucks,37.387571,-122.083068,Norman Y. Mineta San Jose International Airport,37.3639472,-121.9289375,Safari Kid - Mountain View,37.3867586,-122.0850181
18,Revver,Los Angeles,USA,34.052187,-118.243425,Starbucks,34.050984,-118.242338,Los Angeles International Airport,33.9415889,-118.40853,Joy Picus Child Development Center,34.0522706,-118.2425831
19,Flock,Menlo Park,USA,37.491356,-122.228843,Starbucks,37.490422,-122.225101,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at Redwood City,37.4902792,-122.2313807
20,Dropbox,San Francisco,USA,37.7909427,-122.4084994,Starbucks,37.789348,-122.406831,San Francisco International Airport,37.6213129,-122.3789554,Chinatown Community Children's Center,37.7938275,-122.4091552
21,Kongregate,San Francisco,USA,37.786942,-122.401245,Starbucks,37.787764,-122.401087,San Francisco International Airport,37.6213129,-122.3789554,American Child Care Services,37.78939560000001,-122.3997317
22,Yola,San Francisco,USA,37.7911148,-122.3954751,Starbucks Reserve,37.791511,-122.395103,San Francisco International Airport,37.6213129,-122.3789554,Pacific Gas Children's Center,37.7921285,-122.3966794
23,BitTorrent,San Francisco,USA,37.790998,-122.394668,Starbucks Reserve,37.791511,-122.395103,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at 221 Main,37.79034,-122.392263
24,Vlingo,Cambridge,USA,42.372912,-71.118999,Starbucks Reserve,42.373333,-71.119214,Boston Logan International Airport,42.3656132,-71.0095602,Radcliffe Child Care Center,42.370429,-71.1161876
25,Docstoc,Santa Monica,USA,34.018275,-118.495025,Starbucks,34.0157416,-118.4965857,Los Angeles International Airport,33.9415889,-118.40853,Knowledge Universe,34.0178262,-118.4971913
26,Shock Treatment Management,Seattle,USA,47.610332,-122.339859,Starbucks,47.6090095,-122.3399417,Seattle-Tacoma International Airport,47.4502499,-122.3088165,Pike Market Child Care & Preschool,47.6083435,-122.3416313
27,MocoSpace,Boston,USA,42.350274,-71.058768,Starbucks,42.35223999999999,-71.05597,Boston Logan International Airport,42.3656132,-71.0095602,Bright Horizons at Tufts Medical Center,42.3490058,-71.06237589999999
28,Thumbplay,New York,USA,40.725435,-73.997395,Starbucks,40.727212,-73.995485,John F. Kennedy International Airport,40.6413111,-73.77813909999999,SoHo Child Care,40.7233739,-74.0010602
29,OMGPOP,New York,USA,40.723384,-74.001704,Starbucks,40.722553,-73.997942,John F. Kennedy International Airport,40.6413111,-73.77813909999999,SoHo Child Care,40.7233739,-74.0010602
30,RatePoint,Needham,USA,42.296111,-71.238524,Starbucks,42.29325100000001,-71.235089,Boston Logan International Airport,42.3656132,-71.0095602,Little Corner SchoolHouse Needham,42.2957685,-71.2361425
31,Animoto,New York,USA,40.72948,-74.000195,Starbucks,40.730715,-74.002585,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Manhattan Kid's Club III,40.73193879999999,-74.0005599
32,Xobni,San Francisco,USA,37.789634,-122.404052,Starbucks,37.7884614,-122.4034092,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons,37.7921109,-122.4039273
33,Worklight,New York,USA,40.756799,-73.976348,Starbucks,40.757077,-73.97596899999999,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Bright Horizons at E46th St,40.7538188,-73.9732642
34,Mobivox,Montreal,CAN,45.500277,-73.560084,Starbucks,45.5007393,-73.55924,Montréal-Pierre Elliott Trudeau International Airport,45.46568509999999,-73.7454814,Centre Des Petits,45.5024981,-73.5611958
35,3Jam,San Francisco,USA,37.765125,-122.4044034,Starbucks,37.7658845,-122.4034908,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at Kansas Street,37.7666032,-122.403834
